282685,282581,282685,281863,283526,283143
282686,282747,282686,281901,281902,283086
282681,282409,281871,282368,282509,282273
282695,282695,282230,282234,281872,281871
282689,283439,283515,283440,282689,282691
282690,283261,282690,283087,281994,282185
282691,283526,283143,283527,282497,282509
282700,283529,283086,283448,282700,283447
282701,282701,283252,281902,281871,281887
282702,282189,282702,283087,282245,283269
282703,281871,283254,282164,282000,282173
282699,283249,282699,283086,283087,283526
282711,281872,281871,282554,282524,282006
282704,0,0,0,0,0
282717,281977,281874,283151,283507,283342
282718,282717,282508,282583,281923,282511
282719,282173,282719,281875,281876,282982
282712,282712,282410,283262,282711,281924
282715,282718,281871,281984,282368,283525
282724,282925,282724,281887,282723,281874
282720,282720,282144,281875,281998,283533
282721,282723,282722,281984,281863,282497
282722,282722,282723,283526,283525,283143
282723,282723,281876,283448,281869,283447
282750,282750,282917,283259,282751,282012
282751,283342,281890,281885,282412,281870
282744,281887,282744,283438,282746,281915
282746,282198,281876,281980,283086,283447
282747,282747,282002,281920,283151,281870
282762,283255,282762,282763,281980,283448
282763,282763,282762,281863,283532,282368
282789,283086,283525,281984,282368,281985
282790,283255,281924,281885,282981,282020
282791,0,0,0,0,0
282792,282411,283340,282276,282924,283151
282794,282794,282187,282876,283086,281886
282870,282871,282870,281975,282273,281924
282871,281872,282871,281871,281873,282701
282876,283439,282876,282020,283086,282025
282877,282014,283086,282877,281980,283447
282878,281885,283253,282018,283087,283254
282872,283525,283450,283257,283515,281890
281863,281863,283538,283518,283517,283537
281869,282411,281870,281885,282924,283151
281870,282411,283340,283060,283447,282982
281871,281871,282409,282923,283454,281869
281864,281864,283439,282704,281871,281901
281876,281876,281875,281918,283151,283448
281877,281874,283526,281863,282508,283532
281872,281872,281871,282410,282409,283513
281873,281901,283152,283513,281914,283514
281874,281874,281873,283453,283210,283151
281875,281875,281876,283254,281864,281863
281885,281885,281870,281875,283224,281869
281886,281886,283151,281885,283086,281870
281887,281887,281888,281889,283440,283257
282905,282905,283517,283025,283450,283269
282906,282906,282905,283507,283439,283151
281892,281892,281864,281863,283529,281917
281893,281894,281893,283508,281923,282220
282917,283447,282751,282224,282512,281892
282918,282273,283513,281873,283509,282368
281894,281894,281893,283142,281989,283527
282919,281890,281869,281889,283447,283258
281888,281888,283257,281890,283260,283440
281889,281994,281887,281888,281894,281917
281890,281889,281890,283440,283223,283448
281891,282024,281892,281889,283448,281916
282924,282924,282410,281872,283151,281871
281900,281900,283537,281902,281871,281872
281901,281901,281902,281975,283251,281978
282925,282925,281887,282926,281889,283488
281902,281902,281900,281873,282269,281911
282926,282926,281887,283488,283087,283086
282927,282927,281892,281915,281916,283249
282920,282919,282920,281989,283525,283522
282923,282923,281869,281871,282409,282924
281899,281899,281901,281919,281923,283033
281909,282169,281909,282512,281885,281910
281910,281909,282763,281863,283142,282368
281911,281911,283439,281874,282409,283440
282928,0,0,0,0,0
281916,281916,283440,283447,283260,283465
281917,281917,283505,283440,281891,283460
281918,281980,281875,281981,281917,282509
281919,283460,282252,282945,283524,281869
282943,0,0,0,0,0
281912,281912,281911,283440,281874,283439
281913,281873,283262,281874,281915,281911
281914,281914,281913,283448,282012,281915
281915,281915,281892,281890,283515,281863
281924,281924,281923,281925,283256,282272
281925,281925,283257,283451,282008,281924
281926,281923,283238,282411,283427,283428
281920,281920,283502,282723,282367,282411
282944,0,0,0,0,0
282945,282945,283515,281901,283448,283447
281921,281899,281922,281919,281923,283269
281922,281922,282367,281863,282368,282583
282946,282945,282946,283033,283427,282367
281923,281921,281890,283255,282493,283525
282981,282981,282982,282723,283448,282411
282982,282982,281875,281876,282719,282368
281964,283087,281964,282018,283448,282234
281965,281873,283448,283447,282000,281874
281966,281966,281870,281885,281986,283526
281967,281963,281980,281901,283251,281977
281963,281963,283269,281964,283251,281887
282996,282497,281874,281901,283453,283260
281972,281972,281889,281971,281885,281886
281973,281973,283467,281902,283439,283506
281974,281974,281973,281887,282052,283252
281975,281975,281990,283086,283447,283448
281968,281968,281980,281901,282230,281870
281969,283513,283440,283439,283447,282923
281970,281973,281970,283086,281871,281870
282995,281863,282995,281871,281873,283439
281971,283439,283515,281969,283516,283447
281980,281980,281981,283447,281917,281982
281981,281981,281968,283447,283087,283342
281982,281980,282226,282016,283448,281981
281976,281976,281978,281901,281869,281984
281977,281977,281978,283447,282002,282925
281978,281978,282946,281977,281901,283448
281979,281888,281979,281894,281872,282110
281988,281981,281980,283437,283439,283269
281989,281989,281988,283260,282945,282207
281990,281990,281988,281885,282018,283086
281991,0,0,0,0,0
281984,281984,281902,282242,283439,281967
281985,281887,282173,281888,281985,283260
281986,281984,283447,282198,281988,282368
281987,0,0,0,0,0
281998,281994,282024,282187,283047,282025
281999,281999,281998,281994,282234,283447
283023,282717,281874,281901,282245,283269
281992,282052,282196,281874,283537,282945
281993,281980,283448,283447,282252,283521
281994,281994,283055,283087,282925,282926
281995,281995,281999,281890,281887,282925
283019,281998,282013,282554,282010,283260
282004,282005,282002,282747,283526,282245
283028,283028,283027,283253,283527,281863
283029,281889,283029,282272,283030,283528
282005,282005,282002,283253,283027,282504
283030,283030,283027,282018,282368,283448
282006,282006,283466,282004,282008,283500
282007,282007,282006,281872,282254,283464
282000,281871,282410,281876,281872,282252
283024,0,0,0,0,0
283025,283025,283027,283449,281869,282508
282001,282000,282001,282242,282497,281869
282002,282002,282925,283447,282583,283255
283027,281885,281870,283447,282981,282719
282003,282504,282003,281871,282198,283447
282012,282012,282010,281911,283527,283526
282013,282276,281912,283439,283260,283259
282014,282014,282012,281902,282236,281901
282008,282008,283250,283451,283249,283447
283033,283034,281871,282946,282945,282052
282009,283437,282006,282368,283521,283428
282010,282010,281916,281984,281863,282497
283034,282946,283268,282368,281863,283524
282011,282011,283451,282008,282014,283258
282020,282006,283086,282877,281885,283464
282021,282021,283448,282164,282252,283521
282022,282022,282021,283261,281998,282253
282023,282023,282022,281999,281998,281871
283047,281873,283047,282025,281901,283447
282016,282014,281977,281978,283447,283533
282018,282018,282234,281982,283537,283086
283053,283053,283087,283086,282717,282252
283055,281994,282186,282789,281869,281875
282024,282024,283448,283249,282026,283440
282025,281922,283250,282026,281921,281875
283049,283049,282723,283257,281979,282242
282026,282026,282027,283086,283447,281916
283051,283529,282185,281863,283521,283537
282027,283447,282026,282996,281871,283448
283060,283060,283061,281870,281887,283062
283061,283061,283060,281870,282945,283448
283062,282008,282010,281870,283447,282412
283063,283504,281869,282982,281972,283063
283056,283056,282192,281871,282524,282410
282052,282367,281873,283530,283524,283537
282053,283531,283505,283504,283257,281923
282050,282050,283152,283151,283237,283238
282051,282051,283440,283514,282050,283526
283086,283086,283087,282018,283448,281998
283087,283087,283086,282234,282186,283439
282065,282065,281900,282495,281863,283529
282066,282065,282066,281872,281871,282410
282110,282110,282066,282065,282367,283427
282111,282111,283427,282051,283151,283152
283142,0,0,0,0,0
283143,283143,282368,283428,281892,281863
283151,282924,282050,282923,281871,283525
283152,283152,281874,281873,281872,282250
282142,282142,282723,282024,282368,281984
282144,282144,283027,281919,282981,282982
282158,281876,282158,281875,283500,283501
282159,282368,283521,283522,281869,283151
282164,281873,283447,281874,283448,283513
282166,283062,281869,281870,283513,281875
282167,282166,281869,283346,282411,281863
282160,282160,282024,283249,281986,281863
282162,282162,282024,282410,281872,281875
282173,281869,281876,282719,282174,281887
282174,282174,282173,283439,281869,283259
282168,282168,283537,282169,281885,282020
282169,282164,283447,283448,281869,282252
282171,282171,281873,283151,282794,282187
282183,282183,282184,283269,283526,283152
282189,282189,282701,281889,282051,281887
282184,282168,282169,283448,281876,283268
282185,283086,282185,283087,283049,282409
283210,283210,282751,282167,283427,282273
282186,282186,283249,283086,282699,282005
283211,283211,283462,282004,282242,281863
282187,281979,281981,281887,281923,281998
