1,22,1,30,29,37,9,23,21,10,44,11,12,13,14,15,35,18,39,20,45,46,48,25,26,27,28,58,60,31,33,34,2,36,4,38,3,41,42,43,8,5,6,47,7,49,50,51,52,53,54,55,56,57,17,59,19,61,62,63,64,64,64,64,64
2,2,10,3,8,5,6,7,17,9,21,11,12,13,14,15,35,18,19,20,44,22,23,25,26,27,28,29,30,31,33,34,1,36,37,38,39,41,42,43,4,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,64,64,64,64
3,51,47,52,50,43,46,3,42,48,59,60,53,55,14,15,17,18,19,20,21,22,23,25,1,27,28,29,30,31,33,34,35,36,37,38,39,41,2,6,44,45,4,5,12,49,7,8,9,10,54,11,56,57,58,26,13,61,62,63,64,64,64,64,64
4,50,19,42,4,51,49,43,58,27,34,12,41,18,29,15,35,37,39,20,21,22,23,25,52,54,28,59,30,31,33,1,2,36,3,38,8,5,6,7,44,45,46,47,48,17,9,10,11,53,26,55,56,57,13,14,60,61,62,63,64,64,64,64,64
5,35,20,61,5,34,36,43,28,60,27,26,53,19,45,21,13,12,44,42,1,46,23,25,2,54,56,58,30,31,33,3,4,10,37,38,6,41,7,8,9,22,11,47,48,49,50,51,52,29,14,55,15,57,17,59,18,39,62,63,64,64,64,64,64
6,6,5,13,12,7,26,14,8,9,21,11,27,28,30,15,17,18,19,20,44,22,23,25,52,54,56,29,60,31,33,34,35,36,37,38,39,41,42,43,1,45,46,47,48,49,50,51,2,53,3,55,4,57,58,59,10,61,62,63,64,64,64,64,64
7,7,9,15,18,14,17,30,8,19,10,11,12,13,31,33,35,37,39,20,21,22,23,25,26,27,28,29,60,62,64,34,1,36,2,38,3,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,4,61,5,63,6,6,6,6,6
8,42,55,43,50,34,8,41,7,35,51,47,53,46,49,15,36,18,19,20,21,22,23,25,26,27,28,29,60,31,33,1,2,3,37,38,39,4,5,6,44,45,14,17,48,9,10,11,52,12,54,13,56,57,58,59,30,61,62,63,64,64,64,64,64
9,7,9,15,18,14,17,30,8,19,10,11,12,13,31,33,35,37,39,20,21,22,23,25,26,27,28,29,60,62,64,34,1,36,2,38,3,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,4,61,5,63,6,6,6,6,6
10,45,37,10,36,44,53,29,46,28,38,22,30,18,52,3,17,1,19,20,2,47,23,25,6,27,56,58,60,31,33,34,35,4,5,12,39,41,42,43,7,8,9,21,48,49,50,51,11,26,54,55,13,57,14,59,15,61,62,63,64,64,64,64,64
11,26,57,39,11,34,49,27,38,18,28,41,58,30,33,10,50,25,59,47,35,22,48,51,52,54,56,29,60,31,64,1,2,36,3,4,5,6,42,43,7,45,46,8,9,21,23,12,13,53,14,55,15,17,37,19,20,61,62,63,44,44,44,44,44
12,36,12,35,44,37,28,29,20,52,27,45,42,13,14,15,17,18,19,43,21,22,23,25,53,54,56,58,30,31,33,34,1,2,3,38,39,41,4,5,6,7,46,47,48,49,50,51,8,9,10,55,11,57,26,59,60,61,62,63,64,64,64,64,64
13,18,26,13,10,17,21,43,12,19,28,11,27,29,14,15,35,37,39,20,44,46,23,25,52,54,56,58,30,31,33,34,1,36,2,38,3,41,42,4,5,45,6,47,48,49,50,51,7,53,8,55,9,57,22,59,60,61,62,63,64,64,64,64,64
